year,name,sex,num
2022,Aaron,M,120
2022,Aaron Mateo,M,3
2022,Abel,M,30
2022,Abraham,M,21
2022,Achraf,M,3
2022,Adai,M,6
2022,Adam,M,86
2022,Adan,M,9
2022,Aday,M,32
2022,Adnan,M,4
2022,Adolfo,M,6
2022,Adonay,M,9
2022,Adonis,M,3
2022,Adrian,M,373
2022,Adriano,M,4
2022,Adriel,M,9
2022,Agustin,M,9
2022,Ahmad,M,7
2022,Ahmed,M,7
2022,Aidan,M,4
2022,Aiden,M,7
2022,Aimar,M,21
2022,Airam,M,5
2022,Aitor,M,66
2022,Akram,M,9
2022,Alan,M,60
2022,Alaric,M,3
2022,Alberto,M,65
2022,Aldo,M,3
2022,Aleix,M,10
2022,Alejandro,M,425
2022,Alejandro David,M,3
2022,Alejo,M,13
2022,Alen,M,3
2022,Alessandro,M,24
2022,Alessio,M,4
2022,Alex,M,161
2022,Alexander,M,39
2022,Alexandru,M,7
2022,Alexandru Gabriel,M,3
2022,Alexis,M,6
2022,Alfonso,M,40
2022,Alfredo,M,9
2022,Ali,M,13
2022,Allen,M,3
2022,Alonso,M,84
2022,Alvaro,M,407
2022,Alvaro Maria,M,3
2022,Amin,M,9
2022,Amir,M,54
2022,Anas,M,17
2022,Ander,M,57
2022,Andrea,M,3
2022,Andrei,M,6
2022,Andres,M,72
2022,Andrew,M,4
2022,Angel,M,140
2022,Angel Gabriel,M,5
2022,Angelo,M,4
2022,Anibal,M,9
2022,Anthony,M,4
2022,Antoine,M,3
2022,Anton,M,12
2022,Antonio,M,114
2022,Antonio Jose,M,5
2022,Anuar,M,5
2022,Aran,M,9
2022,Aray,M,5
2022,Aren,M,8
2022,Ares,M,47
2022,Arian,M,5
2022,Ariel,M,5
2022,Aris,M,6
2022,Aritz,M,28
2022,Arkan,M,3
2022,Arnau,M,4
2022,Aron,M,10
2022,Artai,M,3
2022,Artem,M,3
2022,Arthur,M,8
2022,Arturo,M,33
2022,Aryan,M,3
2022,Aser,M,3
2022,Asher,M,6
2022,Asier,M,100
2022,Asis,M,4
2022,Axel,M,51
2022,Ayan,M,6
2022,Ayden,M,5
2022,Aylan,M,8
2022,Ayman,M,17
2022,Ayoub,M,7
2022,Azael,M,3
2022,Aziel,M,4
2022,Badr,M,3
2022,Bastian,M,17
2022,Beltran,M,44
2022,Benjamin,M,24
2022,Benat,M,3
2022,Bernardo,M,4
2022,Biel,M,5
2022,Bilal,M,8
2022,Blas,M,4
2022,Borja,M,30
2022,Bosco,M,62
2022,Brais,M,5
2022,Brian,M,3
2022,Bruno,M,251
2022,Bryan,M,3
2022,Caleb,M,15
2022,Camilo,M,13
2022,Carlo,M,6
2022,Carlos,M,162
2022,Carlos Andres,M,4
2022,Carlos David,M,3
2022,Carmelo,M,5
2022,Cayetano,M,13
2022,Cesar,M,47
2022,Christian,M,11
2022,Ciro,M,10
2022,Claudio,M,3
2022,Cosme,M,6
